Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.4125,0.8084,0.8508,0.8565,35.79,0.8565
2,0.2291,0.9097,0.8462,0.8377,34.54,0.8565
3,0.1137,0.9593,0.8377,0.8405,34.54,0.8565
