Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.644,0.624,0.642,0.6392,18.68,0.6392
2,0.5317,0.739,0.809,0.8066,18.68,0.8066
3,0.4316,0.8044,0.823,0.8197,18.69,0.8197
4,0.3861,0.8302,0.816,0.8148,18.64,0.8197
5,0.3588,0.8438,0.8366,0.8327,18.63,0.8327
