Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.4455,0.7847,0.849,0.8395,7.37,0.8395
2,0.2678,0.89,0.8736,0.8556,7.34,0.8556
3,0.1269,0.9532,0.8674,0.8362,7.34,0.8556
4,0.0588,0.9802,0.8602,0.8246,7.37,0.8556
5,0.0259,0.9917,0.857,0.8232,7.37,0.8556
