Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.2919,0.8763,0.9008,0.9076,194.21,0.9076
2,0.166,0.9381,0.9074,0.9086,193.87,0.9086
3,0.0907,0.9692,0.897,0.8972,193.9,0.9086
