Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.5279,0.7272,0.7908,0.7871,1.68,0.7871
2,0.3123,0.8679,0.7805,0.7861,1.68,0.7871
3,0.1585,0.9408,0.7749,0.7692,1.65,0.7871
4,0.0669,0.9775,0.7617,0.772,1.65,0.7871
5,0.0316,0.9904,0.7477,0.7692,1.64,0.7871
