Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.4781,0.7641,0.84,0.8347,6.96,0.8347
2,0.3711,0.8333,0.8452,0.8455,6.66,0.8455
3,0.3173,0.8655,0.8528,0.8459,6.68,0.8459
4,0.264,0.8899,0.8588,0.8497,6.68,0.8497
5,0.2174,0.9136,0.8418,0.8428,6.69,0.8497
