Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.752,0.5771,0.6538,0.6679,2.45,0.6679
2,0.6092,0.6746,0.6229,0.6463,1.44,0.6679
3,0.5482,0.734,0.6473,0.6942,1.44,0.6679
4,0.466,0.7862,0.6407,0.6651,1.44,0.6679
5,0.3735,0.8376,0.6811,0.7101,1.44,0.7101
