Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.5781,0.6878,0.6576,0.6492,4.97,0.6492
2,0.5262,0.7483,0.7542,0.7702,4.96,0.7702
3,0.4882,0.7673,0.7692,0.7852,4.96,0.7852
4,0.4766,0.7723,0.7908,0.7702,4.96,0.7702
5,0.4503,0.7859,0.7561,0.7664,4.96,0.7702
