Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.567,0.703,0.7786,0.7589,1.62,0.7589
2,0.4575,0.7892,0.7636,0.7589,1.37,0.7589
3,0.3856,0.8305,0.773,0.7767,1.37,0.7589
4,0.3236,0.8607,0.7552,0.7636,1.37,0.7589
5,0.2616,0.8902,0.7767,0.773,1.38,0.7589
