Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.6357,0.6485,0.743,0.7355,4.96,0.7355
2,0.5436,0.7261,0.7608,0.757,4.96,0.757
3,0.5141,0.7454,0.7617,0.7692,5.0,0.7692
4,0.4894,0.764,0.7758,0.7852,5.0,0.7852
5,0.4695,0.7727,0.7767,0.7824,5.0,0.7824
