Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.6782,0.5734,0.6996,0.6909,19.46,0.6909
2,0.533,0.7398,0.804,0.7916,19.39,0.7916
3,0.3153,0.8726,0.8722,0.8269,19.36,0.8269
4,0.1885,0.9325,0.8738,0.8149,19.4,0.8149
5,0.1191,0.9594,0.873,0.8228,19.39,0.8149
