Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.6668,0.5918,0.6906,0.6944,19.04,0.6944
2,0.4995,0.7712,0.7874,0.7854,18.72,0.7854
3,0.417,0.8125,0.8454,0.843,18.78,0.843
4,0.4217,0.8045,0.849,0.8422,18.72,0.8422
5,0.3639,0.8439,0.8626,0.8579,18.68,0.8579
