Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.6783,0.5701,0.6013,0.6098,5.14,0.6098
2,0.6196,0.6584,0.6473,0.652,5.14,0.652
3,0.5315,0.7377,0.6904,0.7402,5.15,0.7402
4,0.4437,0.7918,0.7251,0.7411,5.14,0.7411
5,0.369,0.8334,0.7364,0.7514,5.14,0.7514
