Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.5941,0.6802,0.6268,0.6031,20.49,0.6031
2,0.3111,0.875,0.8834,0.8532,20.44,0.8532
3,0.1658,0.9413,0.8762,0.8338,20.55,0.8532
4,0.0834,0.9736,0.8696,0.8231,20.54,0.8532
5,0.0424,0.9873,0.8654,0.8204,20.58,0.8532
