Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.6626,0.6663,0.7788,0.7703,7.09,0.7703
2,0.5416,0.7355,0.8046,0.7982,7.04,0.7982
3,0.4966,0.7639,0.8226,0.8188,7.0,0.8188
4,0.4748,0.7792,0.8206,0.82,7.01,0.8188
5,0.4456,0.798,0.806,0.8032,7.02,0.8188
