Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.5435,0.7124,0.7064,0.7308,1.45,0.7308
2,0.4219,0.8035,0.7692,0.7608,1.45,0.7608
3,0.3495,0.8477,0.7702,0.7861,1.45,0.7861
4,0.2764,0.8873,0.7946,0.8039,1.45,0.8039
5,0.2015,0.9222,0.7899,0.7908,1.45,0.8039
