Experiment,Best Eval Acc,Best Eval Epoch,Best Test Acc,Best Test Epoch,Best Induced Test Acc
rotten_tomatoes_Transformer_DistilBERT,0.850844277673546,1,0.8564727954971857,1,0.8564727954971857
imdb_Transformer_DistilBERT,0.9074,2,0.90864,2,0.90864
