Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.7673,0.5803,0.5985,0.5985,1.92,0.5985
2,0.5692,0.7109,0.7064,0.7158,1.67,0.7158
3,0.4453,0.7939,0.6895,0.6886,1.67,0.7158
4,0.3174,0.8659,0.7101,0.7261,1.68,0.7261
5,0.1959,0.921,0.7392,0.7402,1.67,0.7402
