Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.6571,0.6055,0.6592,0.6579,20.62,0.6579
2,0.5723,0.7073,0.7638,0.7522,20.65,0.7522
3,0.4375,0.8051,0.8296,0.8044,20.7,0.8044
4,0.3436,0.8534,0.8576,0.8364,20.65,0.8364
5,0.2836,0.8862,0.8458,0.8204,20.63,0.8364
