Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.6586,0.669,0.7902,0.7909,8.94,0.7909
2,0.5113,0.7571,0.783,0.7796,8.93,0.7909
3,0.4035,0.8194,0.8328,0.8252,8.99,0.8252
4,0.3033,0.8717,0.8476,0.8389,8.97,0.8389
5,0.1818,0.9285,0.8392,0.824,8.97,0.8389
