Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.4164,0.8062,0.8562,0.8543,8.86,0.8543
2,0.238,0.9051,0.8746,0.8617,8.9,0.8617
3,0.1125,0.9604,0.876,0.8551,8.85,0.8551
4,0.0484,0.9835,0.8662,0.8453,8.86,0.8551
5,0.029,0.9901,0.8702,0.8429,8.89,0.8551
