Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.6796,0.561,0.6463,0.6417,5.15,0.6417
2,0.6339,0.6304,0.6473,0.6567,5.0,0.6567
3,0.5816,0.6947,0.6886,0.7036,5.0,0.7036
4,0.5298,0.7329,0.6867,0.7129,5.0,0.7036
5,0.4762,0.7725,0.7158,0.7336,5.0,0.7336
