Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.6071,0.6601,0.7195,0.7233,5.1,0.7233
2,0.4053,0.8295,0.7692,0.7936,5.08,0.7936
3,0.2789,0.8866,0.758,0.7917,5.08,0.7936
4,0.1974,0.9227,0.7702,0.7955,5.08,0.7955
5,0.1325,0.9506,0.7598,0.7852,5.07,0.7955
