Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.6095,0.6689,0.6839,0.6848,5.08,0.6848
2,0.4693,0.7802,0.7767,0.7861,5.06,0.7861
3,0.3711,0.8415,0.758,0.773,5.01,0.7861
4,0.2881,0.88,0.7861,0.7871,5.01,0.7871
5,0.2253,0.9098,0.788,0.803,5.0,0.803
