Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.5485,0.7188,0.7645,0.7608,1.54,0.7608
2,0.3592,0.845,0.7739,0.7833,1.51,0.7833
3,0.2091,0.9164,0.7777,0.7955,1.51,0.7955
4,0.1115,0.9598,0.7767,0.7842,1.48,0.7955
5,0.0571,0.9836,0.7777,0.7805,1.48,0.7955
