Epoch,Train Loss,Train Acc,Eval Acc,Test Acc,Epoch Time (s),Best Induced Test
1,0.4256,0.7965,0.8608,0.8572,6.91,0.8572
2,0.3159,0.8633,0.8596,0.8566,6.9,0.8572
3,0.26,0.8922,0.87,0.8692,6.91,0.8692
4,0.2113,0.9129,0.8818,0.8768,6.9,0.8768
5,0.1591,0.9381,0.873,0.8682,6.95,0.8768
